unitid,year,applied,admitted,enrolled,est_fte,grad_rate_150,inst_name,acceptance_rate,yield_rate,is_bowdoin
206622,2002,3534.0,2950.0,797.0,,77.4,XAVIER UNIVERSITY,83.47481607243917,27.016949152542374,False
206862,2002,0.0,0.0,0.0,,59.0,SOUTHERN NAZARENE UNIVERSITY,,,False
207458,2002,930.0,594.0,198.0,,53.6,OKLAHOMA CITY UNIVERSITY,63.87096774193548,33.33333333333333,False
207582,2002,1431.0,929.0,599.0,,50.7,ORAL ROBERTS UNIVERSITY,64.91963661774982,64.47793326157158,False
208822,2002,876.0,815.0,319.0,,66.7,GEORGE FOX UNIVERSITY,93.0365296803653,39.14110429447853,False
209108,2002,43.0,28.0,23.0,,41.7,MARYLHURST UNIVERSITY,65.11627906976744,82.14285714285714,False
209612,2002,1166.0,1011.0,278.0,,64.0,PACIFIC UNIVERSITY,86.70668953687822,27.497527200791293,False
209825,2002,2571.0,2045.0,734.0,,68.1,UNIVERSITY OF PORTLAND,79.5410346168806,35.892420537897316,False
210739,2002,1488.0,1012.0,316.0,,61.3,DESALES UNIVERSITY,68.01075268817203,31.225296442687743,False
211088,2002,2731.0,1912.0,568.0,,61.8,ARCADIA UNIVERSITY,70.01098498718417,29.707112970711297,False
211431,2002,837.0,560.0,188.0,,50.4,CARLOW COLLEGE,66.90561529271206,33.57142857142857,False
